"variable","gene_name","coef"
"ENSG00000049246","PER3",0.0619642530847453
"ENSG00000126709","IFI6",0.919003846774195
"ENSG00000203963","C1orf141",-0.0440044806958083
"ENSG00000137959","IFI44L",0.0798313931760072
"ENSG00000163563","MNDA",0.0129642026880685
"ENSG00000177614","PGBD5",0.163409158339063
"ENSG00000285053","TBCE",5.60726554635705e-06
"ENSG00000185304","RGPD2",-0.311607919466658
"ENSG00000072163","LIMS2",0.157452316634944
"ENSG00000183840","GPR39",-0.0143024977025422
"ENSG00000163884","KLF15",-0.00185686024798308
"ENSG00000035720","STAP1",0.0236664839210453
"ENSG00000156194","PPEF2",0.0965558970053218
"ENSG00000142731","PLK4",0.141463188173226
"ENSG00000164403","SHROOM1",-0.0734814336638022
"ENSG00000161055","SCGB3A1",-0.147236767063746
"ENSG00000204642","HLA-F",0.198355679216841
"ENSG00000204389","HSPA1A",-0.00922274759377384
"ENSG00000237541","HLA-DQA2",0.00878271484603506
"ENSG00000112182","BACH2",0.0171245998763646
"ENSG00000136205","TNS3",-0.290962303995266
"ENSG00000157680","DGKI",0.125079865296131
"ENSG00000102265","TIMP1",-0.21789331434397
"ENSG00000067445","TRO",0.366634170107786
"ENSG00000147689","FAM83A",0.147710230071039
"ENSG00000198788","MUC2",-0.104671412439971
"ENSG00000148926","ADM",-0.195895733902174
"ENSG00000133316","WDR74",0.180131316270519
"ENSG00000181333","HEPHL1",-0.0247091905592651
"ENSG00000166670","MMP10",0.0258390094299816
"ENSG00000214435","AS3MT",-0.0829938146563055
"ENSG00000237489","C10orf143",-0.0357607016269572
"ENSG00000273079","GRIN2B",-0.00442394317987528
"ENSG00000205592","MUC19",0.150618370154336
"ENSG00000139318","DUSP6",-0.0410145838367877
"ENSG00000253797","UTP14C",-0.0649704100017346
"ENSG00000100453","GZMB",-0.0499453893247201
"ENSG00000165548","TMEM63C",-0.0674367576914078
"ENSG00000257341","AL928654.3",-0.0095543662983693
"ENSG00000206172","HBA1",-0.129654282790176
"ENSG00000197253","TPSB2",0.0137661825096801
"ENSG00000188215","DCUN1D3",-0.306521583368507
"ENSG00000282034","AC106886.6",0.0319328860979383
"ENSG00000266302","AC098850.3",-0.00286911543717744
"ENSG00000171401","KRT13",-0.185622114977307
"ENSG00000131095","GFAP",-0.0329599912695157
"ENSG00000274744","ELOA3",-0.0687175223016101
"ENSG00000125780","TGM3",-0.0190399983923569
"ENSG00000198183","BPIFA1",0.0422870421647125
"ENSG00000101452","DHX35",-0.110931655576256
"ENSG00000269711","AC008763.3",0.0116463906481661
"ENSG00000105371","ICAM4",-0.22670906018516
"ENSG00000105650","PDE4C",0.0836678999645671
"ENSG00000006016","CRLF1",-0.258373479713026
"ENSG00000204936","CD177",0.0425250711595605
"ENSG00000183246","RIMBP3C",-0.0254173892191693
"ENSG00000254709","IGLL5",0.145675770402374
"ENSG00000258555","SPECC1L-ADORA2A",-0.209716348715962
"ENSG00000228253","MT-ATP8",-0.0852897949629579
"(Intercept)",NA,-2.68601434224005
